"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName"
"NoError, EmulPriv, Examine";"4D Sports Driving ? 1992 Mindscape";"1992 Distinctive/Mindscape";"whdload";"0";"4D Sports Driving";"4DSportsDriving&MstrTrcks";"1280583";"0-9\4DSportsDriving&MstrTrcks\4DSportsDriving&MstrTrcks.Slave";"786432";"0-9\4DSportsDriving&MstrTrcks";"524288";"4DSportsDriving";"OCS/ECS";"";"";"";"";"MstrTrcks";"A-Games"
"NoError, EmulPriv, Examine";"4th & Inches ? 1988 Accolade.";"1988 Accolade";"whdload";"0";"4th & Inches";"4th&Inches";"251010";"0-9\4th&Inches\4th&Inches.slave";"262144";"0-9\4th&Inches";"524288";"4th&Inches";"OCS/ECS";"";"";"";"";"";"A-Games"
"EmulPriv, ClearMem, Examine";"";"1989 Epyx / U.S. Gold";"whdload";"0";"4x4 Off Road Racing";"4x4OffRoadRacing";"734821";"0-9\4x4OffRoadRacing\4x4OffRoadRacing.Slave";"262144";"0-9\4x4OffRoadRacing";"524288";"4x4OffRoadRacing";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"5th Gear (c) 1988 Hewson - 1 disk.";"1988 Hewson";"whdload";"0";"5th Gear";"5thGear";"925429";"0-9\5thGear\5thGear.Slave";"0";"0-9\5thGear";"524288";"5thGear";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"688 Attack Sub ? 1990 Electronic Arts";"1990 Electronic Arts";"whdload";"0";"688 Attack Sub";"688AttackSub";"820377";"0-9\688AttackSub\688AttackSub.slave";"393216";"0-9\688AttackSub";"524288";"688AttackSub";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, ClearMem";"7 Colors ? 1991 Infogrames";"1991 Infogrames";"whdload";"0";"7 Colors";"7Colors";"835860";"0-9\7Colors\7Colors.Slave";"4096";"0-9\7Colors";"458752";"7Colors";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"9 Lives (c) 1990 ARC - 1 disk.";"1990 ARC";"whdload";"0";"9 Lives";"9Lives";"577648";"0-9\9Lives\9Lives.Slave";"0";"0-9\9Lives";"524288";"9Lives";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"A10 Tank Killer ? 1989-1991 Dynamix.";"1989-1991 Dynamix";"whdload";"0";"A-10 Tank Killer";"A10TankKiller3Disk";"2341564";"A\A10TankKiller3Disk\A10TankKiller3Disk.Slave";"786432";"A\A10TankKiller3Disk";"524288";"A10TankKiller";"OCS/ECS";"";"";"";"3Disk";"";"A-Games"
"NoError, EmulTrap, NoDivZero, ClearMem";"Aaargh! ? 1987 Arcadia Systems.";"1987 Arcadia systems";"whdload";"0";"Aaargh!";"Aaargh";"844595";"A\Aaargh\Aaargh.Slave";"524288";"A\Aaargh";"524288";"Aaargh";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Arcadia Systems version of Aaargh! game";"1987 Arcadia Systems";"whdload";"0";"Aaargh! (Arcadia)";"Aaargh!Arcadia";"1588203";"A\Aaargh!Arcadia\Aaargh!Arcadia.Slave";"1589248";"A\Aaargh!Arcadia";"524288";"Aaargh!Arcadia";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap";"Abandoned Places ? 1992 ArtGame.";"";"whdload";"0";"";"AbandonedPlaces";"4519401";"A\AbandonedPlaces\AbandonedPlaces.slave";"";"A\AbandonedPlaces";"1040384";"AbandonedPlaces";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, EmulPriv, Examine";"Abandoned Places 2 ? 1993 ICE Ltd.";"1993 ICE Ltd";"whdload";"0";"Abandoned Places 2";"AbandonedPlaces2";"3339108";"A\AbandonedPlaces2\AbandonedPlaces2.Slave";"786432";"A\AbandonedPlaces2";"1044480";"AbandonedPlaces2";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"ABC Monday Night Football ? 1991 Data East.";"1991 Data East";"whdload";"0";"ABC Monday Night Football";"ABCMondayNightFootball";"2455365";"A\ABCMondayNightFootball\ABCMondayNightFootball.slave";"786432";"A\ABCMondayNightFootball";"524288";"ABCMondayNightFootball";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"game called:";"1989 Coktel Vision";"whdload";"0";"Abra cadabra & Baba Yaga";"Abracadabra";"1178670";"A\Abracadabra\Abracadabra.Slave";"786432";"A\Abracadabra";"524288";"Abracadabra";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Academy by CRL Group/ComTek (c) 1988.";"1988 CRL";"whdload";"0";"Academy";"Academy";"356900";"A\Academy\Academy.slave";"0";"A\Academy";"524288";"Academy";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap, ReqAGA, ClearMem";"A.C.SYS ? 1998 Joerg Belger/Unique.";"2000 Unique";"whdload";"0";"ACSYS";"ACSYSDemoAGA";"1969139";"A\ACSYSDemoAGA\ACSYSDemoAGA.slave";"1048576";"A\ACSYSDemoAGA";"2097152";"ACSYS";"AGA";"";"";"Demo";"";"";"A-Games"
"NoError, EmulTrap, NoDivZero";"Action Fighter ? 1989 Sega/Firebird/Kixx.";"1989 Sega/Firebird/Kixx";"whdload";"0";"Action Fighter";"ActionFighter";"360614";"A\ActionFighter\ActionFighter.slave";"0";"A\ActionFighter";"524288";"ActionFighter";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Addams Family (c) 1992 Ocean - 1 disk.";"1992 Ocean";"whdload";"0";"Addams Family";"AddamsFamily";"932194";"A\AddamsFamily\AddamsFamily.Slave";"524288";"A\AddamsFamily";"524288";"AddamsFamily";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoDivZero, NoKbd, ClearMem";"Adrenalynn ? 1991 Exponentia.";"1991 Exponentia";"whdload";"0";"Adrenalynn";"Adrenalynn";"918054";"A\Adrenalynn\Adrenalynn.Slave";"0";"A\Adrenalynn";"524288";"Adrenalynn";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"Advanced Destroyer Simulator ? 1991 Futura.";"1991 Futura";"whdload";"0";"Advanced Destroyer Simulator";"AdvancedDestroyerSim";"562904";"A\AdvancedDestroyerSim\AdvancedDestroyerSim.Slave";"786432";"A\AdvancedDestroyerSim";"1048576";"AdvancedDestroyerSim";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Advanced Ski Simulator ? 199? Code Masters.";"";"whdload";"0";"";"AdvancedSkiSimulator";"817900";"A\AdvancedSkiSimulator\AdvancedSkiSimulator.slave";"";"A\AdvancedSkiSimulator";"524288";"AdvancedSkiSimulator";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, Req68020";"";"1991 Infogrames";"whdload";"0";"Advantage Tennis";"AdvantageTennis";"814655";"A\AdvantageTennis\AdvantageTennis.slave";"786432";"A\AdvantageTennis";"524288";"AdvantageTennis";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"Adventure Construction Set ? 1986 Electronic Arts";"1986 Electronic Arts";"whdload";"0";"Adventure Construction Set";"AdventureConstructionSet";"912277";"A\AdventureConstructionSet\AdventureConstructionSet.slave";"262144";"A\AdventureConstructionSet";"786432";"AdventureConstructionSet";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"The Adventures of Genlock Holmes ? 1990 MicroEd, Inc.";"1990 MicroEd, Inc.";"whdload";"0";"The Adventures of Genlock Holmes";"AdventuresOfGenlockHolmes";"503629";"A\AdventuresOfGenlockHolmes\AdventuresOfGenlockHolmes.Slave";"262144";"A\AdventuresOfGenlockHolmes";"524288";"AdventuresOfGenlockHolmes";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError";"Quik & Silva (c) 1991 New Bits on the Ram - 1 disk.";"1991 New Bits on the Ram";"whdload";"0";"The Adventures of Quik & Silva";"AdventuresOfQuik&Silva";"578771";"A\AdventuresOfQuik&Silva\AdventuresOfQuik&Silva.Slave";"0";"A\AdventuresOfQuik&Silva";"524288";"AdventuresOfQuik&Silva";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Adventures of Robin Hood by Millennium (c) 1991 - 1 disk.";"1991 Millenium";"whdload";"0";"Adventures of Robin Hood";"AdventuresOfRobinHood";"964482";"A\AdventuresOfRobinHood\AdventuresOfRobinHood.slave";"0";"A\AdventuresOfRobinHood";"524288";"AdventuresOfRobinHood";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"The Adventures Of Willy Beamish ? 1992 Dynamix";"1992 Dynamix";"whdload";"0";"The Adventures of Willy Beamish";"AdventuresOfWillyBeamish";"9878788";"A\AdventuresOfWillyBeamish\AdventuresOfWillyBeamish.slave";"1835008";"A\AdventuresOfWillyBeamish";"524288";"AdventuresOfWillyBeamish";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"African Raiders-01 ? 1989 Tomahawk.";"1989 Tomahawk";"whdload";"0";"African Raiders-01";"AfricanRaiders01";"421221";"A\AfricanRaiders01\AfricanRaiders01.slave";"786432";"A\AfricanRaiders01";"524288";"AfricanRaiders01";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap, NoDivZero";"";"1988 Sega Enterprises Ltd.";"whdload";"0";"After Burner";"AfterBurnerActivision";"1364489";"A\AfterBurnerActivision\AfterBurnerActivision.Slave";"0";"A\AfterBurnerActivision";"524288";"AfterBurnerActivision";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"After Burner 2 ? 1989 Sega.";"1989 Sega";"whdload";"0";"After Burner 2";"AfterBurnerSega";"910179";"A\AfterBurnerSega\AfterBurnerSega.slave";"0";"A\AfterBurnerSega";"524288";"AfterBurnerSega";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoKbd";"After The War by Dinamic (c) 1989 - 1 disk.";"1989 Dinamic";"whdload";"0";"After The War";"AfterTheWar";"913501";"A\AfterTheWar\AfterTheWar.Slave";"0";"A\AfterTheWar";"524288";"AfterTheWar";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"AGE ? 1991 Coktel Vision.";"1991 Coktel Vision";"whdload";"0";"AGE ";"AGE";"1119594";"A\AGE\AGE.Slave";"262144";"A\AGE";"524288";"AGE";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoDivZero, ClearMem";"Agony ? 1992 Psygnosis.";"1992 Psygnosis & Art And Magic";"whdload";"0";"Agony";"Agony";"2578555";"A\Agony\Agony.Slave";"0";"A\Agony";"524288";"Agony";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap";"Airball ? 1987-89 Microdeal.";"1987-89 Microdeal";"whdload";"0";"Airball";"Airball";"825310";"A\Airball\Airball.Slave";"0";"A\Airball";"524288";"Airball";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"Airborne Ranger ? 1989 Microprose.";"1989 Microprose";"whdload";"0";"Airborne Ranger";"AirborneRanger";"762319";"A\AirborneRanger\AirborneRanger.Slave";"0";"A\AirborneRanger";"524288";"AirborneRanger";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoDivZero, ClearMem";"Air Support ? 1992 Psygnosis";"1992 Psygnosis";"whdload";"0";"Air Support";"AirSupport";"1933132";"A\AirSupport\AirSupport.Slave";"4294443008";"A\AirSupport";"524288";"AirSupport";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"Akira ? 1994 Ice - 3 disks";"1994 Ice";"whdload";"0";"Akira";"Akira";"2353509";"A\Akira\Akira.slave";"0";"A\Akira";"1048576";"Akira";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, Req68020, ReqAGA, ClearMem";"Aladdin (c) 1994 Virgin.";"1994 Virgin";"whdload";"0";"Aladdin";"AladdinAGA";"2001211";"A\AladdinAGA\AladdinAGA.Slave";"4096";"A\AladdinAGA";"2048000";"Aladdin";"AGA";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"Alcatraz ? 1992 Infogrames.";"1992 Infogrames";"whdload";"0";"Alcatraz";"Alcatraz";"1835534";"A\Alcatraz\Alcatraz.slave";"0";"A\Alcatraz";"524288";"Alcatraz";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, ClearMem";"Alchemy demo ? 1994 Psygnosis";"1994 Psygnosis";"whdload";"0";"Alchemy demo";"AlchemyDemo";"357375";"A\AlchemyDemo\AlchemyDemo.Slave";"4096";"A\AlchemyDemo";"524288";"Alchemy";"OCS/ECS";"";"";"Demo";"";"";"A-Games"
"NoError, ReqAGA, EmulPriv, Examine";"Alfred Chicken AGA/CD32 ? 1993 Mindscape.";"1993 Mindscape";"whdload";"0";"Alfred Chicken AGA/CD32";"AlfredChickenAGA";"1261115";"A\AlfredChickenAGA\AlfredChickenAGA.slave";"524288";"A\AlfredChickenAGA";"1572864";"AlfredChicken";"AGA";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoKbd, ClearMem";"Alianator ? 1991 P.S.";"1991 P.S. ";"whdload";"0";"Alianator";"Alianator";"372468";"A\Alianator\Alianator.Slave";"0";"A\Alianator";"524288";"Alianator";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError";"Alien III ? 1992 Virgin";"1992 Virgin";"whdload";"0";"Alien III";"Alien3";"1822172";"A\Alien3\Alien3.Slave";"524288";"A\Alien3";"524288";"Alien3";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"Alien Bash (c) 1993 Glen Cumming & Stuart Law - 1";"1993 Glen Cumming & Stuart Law";"whdload";"0";"Alien Bash";"AlienBash";"272136";"A\AlienBash\AlienBash.Slave";"4096";"A\AlienBash";"524288";"AlienBash";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Alien Bash 2 by Glen Cumming/Myles Jeffery (c) 1995 - 1 disk.";"1995 Glen Cumming/Myles Jeffery";"whdload";"0";"Alien Bash 2";"AlienBash2";"1063152";"A\AlienBash2\AlienBash2.slave";"720896";"A\AlienBash2";"720896";"AlienBash2";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoKbd";"Alien Breed ? 1991 Team 17.";"1991 Team 17";"whdload";"0";"Alien Breed";"AlienBreed";"1840708";"A\AlienBreed\AlienBreed.Slave";"524288";"A\AlienBreed";"524288";"AlienBreed";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ReqAGA, NoKbd, ClearMem";"Alien Breed 2 - The Horror Continues ? 1993 Team 17.";"1993 Team 17";"whdload";"0";"Alien Breed 2 AGA";"AlienBreed2AGA";"2973560";"A\AlienBreed2AGA\AlienBreed2AGA.slave";"1048576";"A\AlienBreed2AGA";"1048576";"AlienBreed2";"AGA";"";"";"";"";"";"A-Games"
"NoError, Req68020, ReqAGA";"Alien Breed 3D ? 1995 Team 17";"1995 Team 17";"whdload";"0";"Alien Breed 3D";"AlienBreed3DAGA";"1667387";"A\AlienBreed3DAGA\AlienBreed3DAGA.Slave";"1409024";"A\AlienBreed3DAGA";"589824";"AlienBreed3D";"AGA";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, Req68020, ReqAGA, ClearMem";"Alien Breed 3D II: The Killing Grounds ? 1996 Team 17";"1996 Team 17";"whdload";"0";"Alien Breed 3D II: The Killing Grounds";"AlienBreed3D2AGA";"2586164";"A\AlienBreed3D2AGA\AlienBreed3D2AGA.slave";"2490368";"A\AlienBreed3D2AGA";"905216";"AlienBreed3D2";"AGA";"";"";"";"";"";"A-Games"
"NoError, NoKbd";"Alien Breed Special Edition 1992";"";"whdload";"0";"";"AlienBreedSpecialEdition";"1272377";"A\AlienBreedSpecialEdition\AlienBreedSpecialEdition.Slave";"0";"A\AlienBreedSpecialEdition";"1048576";"AlienBreedSpecialEdition";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Alien Breed Story Disk by Team 17 (c) 1991 - 1 disk.";"1991 Team 17";"whdload";"0";"Alien Breed - intro";"AlienBreedStory";"932168";"A\AlienBreedStory\AlienBreedStory.Slave";"524288";"A\AlienBreedStory";"524288";"AlienBreedStory";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, ClearMem";"Alien Breed Tower Assault ? 1994 Team 17";"1994 Team 17";"whdload";"0";"Alien Breed Tower Assault";"AlienBreedTAAGA";"2965918";"A\AlienBreedTAAGA\AlienBreedTAAGA.slave";"544768";"A\AlienBreedTAAGA";"1048576";"AlienBreedTA";"AGA";"";"";"";"";"";"A-Games"
"NoError, ClearMem";"Alien Breed Tower Assault ? 1994 Team 17";"1994 Team 17";"whdload";"0";"Alien Breed Tower Assault";"AlienBreedTA11AGA";"2965940";"A\AlienBreedTA11AGA\AlienBreedTA11AGA.slave";"544768";"A\AlienBreedTA11AGA";"1048576";"AlienBreedTA11";"AGA";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"Alien Drug Lords: The Chyropian Connection";"1991 Panther Games";"whdload";"0";"Alien Drug Lords: The Chyropian Connection";"AlienDrugLords";"3257442";"A\AlienDrugLords\AlienDrugLords.Slave";"786432";"A\AlienDrugLords";"524288";"AlienDrugLords";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"Alien Fish Finger ? 1995 Skull Army/Davis J. Cruickshank.";"1995 Skull Army/David J. Cruickshank.";"whdload";"0";"Alien Fish Finger";"AlienFishFinger";"574945";"A\AlienFishFinger\AlienFishFinger.Slave";"262144";"A\AlienFishFinger";"786432";"AlienFishFinger";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoKbd, ClearMem";"Alien Legion (c) 1989 Pegasus";"1989 Pegasus";"whdload";"0";"Alien Legion";"AlienLegion";"903736";"A\AlienLegion\AlienLegion.Slave";"0";"A\AlienLegion";"524288";"AlienLegion";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoDivZero, ClearMem";"Alien Storm ? 1990 Sega/US Gold";"1991 US Gold";"whdload";"0";"Alien Storm";"AlienStorm";"676748";"A\AlienStorm\AlienStorm.Slave";"0";"A\AlienStorm";"524288";"AlienStorm";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"Alien Syndrome ? 1987 SEGA";"1987 Sega";"whdload";"0";"Alien Syndrome";"AlienSyndrome";"285527";"A\AlienSyndrome\AlienSyndrome.slave";"262144";"A\AlienSyndrome";"524288";"AlienSyndrome";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoKbd";"Alien World (c) 1992 PAL Developments/Hi-Tec - 1";"1992 PAL Developments/Hi-Tec";"whdload";"0";"Alien World";"AlienWorld";"1065881";"A\AlienWorld\AlienWorld.Slave";"0";"A\AlienWorld";"524288";"AlienWorld";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, NoKbd, ClearMem";"Aliex ? 1990 Trojan.";"1990 Trojan";"whdload";"0";"Aliex";"Aliex";"914857";"A\Aliex\Aliex.Slave";"0";"A\Aliex";"524288";"Aliex";"OCS/ECS";"";"";"";"";"";"A-Games"
"EmulTrap, NoDivZero";"Allan Border's Cricket (c) 1993 Audiogenic - 2 disks.";"1993 Audiogenic";"whdload";"0";"Allan Border";"AllanBordersCricket";"621216";"A\AllanBordersCricket\AllanBordersCricket.Slave";"0";"A\AllanBordersCricket";"1048576";"AllanBordersCricket";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, ReqAGA, EmulPriv, Examine";"All New World of Lemmings ? 1994 DMA Design / Psygnosis";"1994 DMA Design / Psygnosis";"whdload";"0";"All New World of Lemmings";"AllNewWorldOfLemmingsAGA";"2752608";"A\AllNewWorldOfLemmingsAGA\AllNewWorldOfLemmingsAGA.slave";"1048576";"A\AllNewWorldOfLemmingsAGA";"2093056";"AllNewWorldOfLemmings";"AGA";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"'Allo 'Allo (c) 1993 Alternative Software.";"1993 Alternative Software";"whdload";"0";"Allo Allo";"AlloAllo";"1824190";"A\AlloAllo\AlloAllo.Slave";"524288";"A\AlloAllo";"524288";"AlloAllo";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"All Terrain Racing (c) 1995 Team 17 - 2 disks.";"1995 Team 17";"whdload";"0";"All Terrain Racing";"AllTerrainRacing";"1393345";"A\AllTerrainRacing\AllTerrainRacing.Slave";"524288";"A\AllTerrainRacing";"524288";"AllTerrainRacing";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"the Amiga Format All Terrain Racing Xmas Demo";"1994 Team 17";"whdload";"0";"All Terrain Racing Xmas Demo";"AllTerrainRacingXmasDemo";"941441";"A\AllTerrainRacingXmasDemo\AllTerrainRacingXmasDemo.slave";"458752";"A\AllTerrainRacingXmasDemo";"524288";"AllTerrainRacingXmas";"OCS/ECS";"";"";"Demo";"";"";"A-Games"
"NoError, ClearMem";"Alpha-1 ? 1988 ECP";"1988 ECP";"whdload";"0";"Alpha-1";"Alpha1";"300745";"A\Alpha1\Alpha1.Slave";"4096";"A\Alpha1";"524288";"Alpha1";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, ClearMem";"Alpha Waves ? 1990 Infogrames";"1990 Infogrames";"whdload";"0";"Alpha Waves";"AlphaWaves";"434167";"A\AlphaWaves\AlphaWaves.Slave";"90112";"A\AlphaWaves";"524288";"AlphaWaves";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, ClearMem";"Altered Beast ? 1989 Sega/Activision";"1989 Sega/Activision";"whdload";"0";"Altered Beast";"AlteredBeast";"1827795";"A\AlteredBeast\AlteredBeast.slave";"0";"A\AlteredBeast";"524288";"AlteredBeast";"OCS/ECS";"";"";"";"";"";"A-Games"
